"period","source","id","Longitude","Latitude","bioc_1","bioc_2","bioc_3","bioc_4","bioc_5","bioc_6","bioc_7","bioc_8","bioc_9","bioc_10","bioc_11","bioc_12","bioc_13","bioc_14","bioc_15","bioc_16","bioc_17","bioc_18","bioc_19","bioc_21","bioc_22","bioc_23","bioc_24","bioc_25","bioc_26","bioc_27","bioc_28","bioc_29","t10","cdd"
"Baseline","Bunn","1226",-85.64582841,13.14583715,25.8479137420654,7.84363555908203,70.686767578125,90.4872894287109,32.010009765625,20.9136810302734,11.0963287353516,25.7204627990723,26.4533576965332,27.0035667419434,24.6475162506104,1583.05432128906,251.258239746094,18.3434524536133,69.402099609375,678.165405273438,72.6348419189453,221.744369506836,224.423233032227,476.687530517578,26.4813671112061,61.2303886413574,30.2145004272461,31.0158882141113,102.223999023438,161.211730957031,167.143951416016,101.040214538574,0,129.900000810623
"Baseline","Bunn","1227",-85.60416174,13.14583715,25.8479137420654,7.84363555908203,70.686767578125,90.4872894287109,32.010009765625,20.9136810302734,11.0963287353516,25.7204627990723,26.4533576965332,27.0035667419434,24.6475162506104,1583.05432128906,251.258239746094,18.3434524536133,69.402099609375,678.165405273438,72.6348419189453,221.744369506836,224.423233032227,476.687530517578,26.4813671112061,61.2303886413574,30.2145004272461,31.0158882141113,102.223999023438,161.211730957031,167.143951416016,101.040214538574,0,129.900000810623
"Baseline","Bunn","1228",-85.52082841,13.14583715,26.4159698486328,7.67605686187744,68.5426025390625,97.9428482055664,32.6426582336426,21.4437007904053,11.1989574432373,26.1638221740723,27.2175903320312,27.7555770874023,25.188627243042,1571.54125976562,246.130447387695,18.555212020874,69.6634292602539,672.226806640625,67.6621780395508,206.70947265625,225.157989501953,474.184478759766,26.3769760131836,60.7848510742188,30.6243286132812,30.1605224609375,102.366073608398,159.75325012207,166.422393798828,100.447555541992,0,130.299997806549
"Baseline","Bunn","1229",-85.47916174,13.14583715,26.9984664916992,7.63617515563965,67.6986465454102,100.166618347168,33.2730407714844,21.9933834075928,11.2796573638916,27.157320022583,27.878833770752,28.3890857696533,25.7855758666992,1875.63146972656,288.875671386719,28.1467037200928,68.5748977661133,839.275390625,88.1201171875,231.732269287109,283.497039794922,457.283721923828,30.1666736602783,60.924674987793,25.8346977233887,35.0899772644043,85.5375061035156,159.850723266602,166.034713745117,98.2719879150391,0,127.849999904633
"Baseline","Bunn","123",-46.39582637,-20.60416461,22.711669921875,10.1778993606567,65.455451965332,183.219985961914,29.4107933044434,13.861439704895,15.5493535995483,24.5153217315674,20.2939319610596,24.5202026367188,20.219856262207,1434.1787109375,289.756774902344,13.1459312438965,81.283576965332,746.899841308594,51.7905883789062,665.963684082031,76.8981704711914,531.345703125,16.0392417907715,56.8232460021973,35.4744834899902,21.348762512207,122.025314331055,127.565322875977,124.236801147461,113.558502197266,2.69999998807907,156.000000953674
"Baseline","Bunn","1230",75.81251334,13.14583715,22.0674705505371,9.00559711456299,53.1049690246582,171.639877319336,30.6246280670166,13.666522026062,16.9581069946289,21.3168144226074,20.4761600494385,24.5714912414551,20.4761600494385,1393.5048828125,300.836151123047,0.130772277712822,89.6537933349609,748.342834472656,7.7455039024353,215.066452026367,7.7455039024353,479.246307373047,48.3594245910645,69.2481002807617,6.39714384078979,62.8509559631348,44.5329818725586,155.509033203125,179.950378417969,155.509033203125,0.399999994784594,186
"Baseline","Bunn","1231",-86.31249511,13.18750382,24.5831127166748,9.2257194519043,68.7820281982422,104.450988769531,31.7332420349121,18.3202629089355,13.4129791259766,24.5368766784668,24.2698211669922,25.9051246643066,23.1744594573975,1137.53247070312,243.617034912109,1.85035622119904,97.3242797851562,598.911010742188,14.7681818008423,190.511337280273,54.3635559082031,561.643188476562,23.740478515625,67.2897415161133,31.3951320648193,35.8946075439453,115.631286621094,163.743865966797,185.685531616211,125.81404876709,0,167.450000762939
"Baseline","Bunn","1232",-85.64582841,13.18750382,25.8882884979248,7.84836769104004,70.7779006958008,90.5138473510742,32.0511360168457,20.9624099731445,11.0887260437012,26.1831665039062,26.4836769104004,27.0408172607422,24.6869163513184,1602.26037597656,255.06672668457,19.2880458831787,71.4196548461914,696.310302734375,66.0749130249023,205.670379638672,216.213470458984,475.646911621094,27.3169460296631,61.6143264770508,30.5110778808594,31.1032485961914,96.4787902832031,161.825561523438,168.57878112793,101.350433349609,0,132.950002193451
"Baseline","Bunn","1233",-85.52082841,13.18750382,25.8770370483398,7.66856288909912,68.529541015625,99.0796966552734,32.1088256835938,20.9186687469482,11.1901569366455,26.0661067962646,26.6740169525146,27.2293395996094,24.6302719116211,1645.38330078125,259.710540771484,20.0434150695801,70.8359298706055,720.176940917969,68.8558654785156,208.484390258789,227.152160644531,462.667755126953,27.5569953918457,60.124195098877,29.7857131958008,30.3384819030762,92.7778778076172,157.654373168945,164.407836914062,98.6463470458984,0,129.450001478195
"Baseline","Bunn","1234",-86.81249514,13.22917049,28.1136913299561,9.73812961578369,67.9377365112305,118.072158813477,35.9876403808594,21.653736114502,14.3339042663574,27.642707824707,28.3056831359863,29.8819561004639,26.8541927337646,1699.60021972656,343.485809326172,0.835648596286774,95.1790161132812,913.450256347656,11.6858568191528,292.847198486328,81.0557327270508,600.373901367188,29.2455253601074,75.9803695678711,28.3134689331055,47.6669006347656,106.756759643555,191.012145996094,199.238037109375,146.032073974609,0,159.599999666214
